TEAM,Appear,Wins,Loss,Percent,PriorCity1,PriorCity2
New York Yankees,40,27,13,0.675,New York,
St. Louis Cardinals,19,11,8,0.579,St. Louis,
Oakland Athletics,14,9,5,0.643,Kansas City,Philadelphia
Boston Red Sox,13,9,5,0.643,,
San Francisco Giants,20,8,12,0.4,New York,
Los Angeles Dodgers,21,7,14,0.333,Brooklyn,
Cincinnati Reds,9,5,4,0.556,,
Pittsburgh Pirates,7,5,2,0.714,,
Detroit Tigers,11,4,7,0.364,,
Atlanta Braves,10,4,6,0.4,Milwaukee,Boston
Chicago Cubs,11,3,8,0.273,,
Baltimore Orioles,7,3,4,0.429,St. Louis,
Minnesota Twins,6,3,3,0.5,"Washington, D.C.",
Chicago White Sox,5,3,2,0.6,,
Philadelphia Phillies,8,2,6,0.25,,
Cleveland Guardians,6,2,4,0.333,,
Houston Astros,5,2,3,0.333,,
New York Mets,5,2,3,0.4,,
Kansas City Royals,4,2,2,0.5,,
Toronto Blue Jays,2,2,0,1,,
Miami Marlins,2,2,0,1,,
Arizona Diamondbacks,1,1,0,1,,
Los Angeles Angels,1,1,0,1,,
Washington Nationals,1,1,0,1,Montreal,
San Diego Padres,2,0,2,0,,
Texas Rangers,2,0,2,0,"Washington, D.C.",
Tampa Bay Rays,2,0,2,0,,
Milwaukee Brewers,1,0,1,0,Seattle,
Colorado Rockies,1,0,1,0,,
Seattle Mariners,0,0,0,0,,
